effective_date,added_symbol,added_name,removed_symbol,removed_name
"April 20, 2026",SNDK,Sandisk,TEAM,Atlassian
"January 20, 2026",WMT,Walmart,AZN,AstraZeneca
"January 9, 2026",,,VSNT,Versant
"January 5, 2026",VSNT,Versant,,
"December 22, 2025",ALNY,Alnylam Pharmaceuticals,BIIB,Biogen
"December 22, 2025",FER,Ferrovial SE,CDW,CDW Corporation
"December 22, 2025",INSM,Insmed Incorporated,GFS,GlobalFoundries
"December 22, 2025",MPWR,Monolithic Power Systems,LULU,Lululemon Athletica
"December 22, 2025",STX,Seagate Technology Holdings,ON,ON Semiconductor
"December 22, 2025",WDC,Western Digital,TTD,Trade Desk (The)
"November 6, 2025",,,SOLS,Solstice Advanced Materials
"October 30, 2025",SOLS,Solstice Advanced Materials,,
"July 28, 2025",TRI,Thomson Reuters,,
"July 17, 2025",,,ANSS,Ansys
"May 19, 2025",SHOP,Shopify,MDB,MongoDB
"December 23, 2024",PLTR,Palantir Technologies,ILMN,Ilumina
"December 23, 2024",MSTR,MicroStrategy,MRNA,Moderna
"December 23, 2024",AXON,Axon Enterprise,SMCI,Supermicro
"November 18, 2024",APP,AppLovin,DLTR,Dollar Tree
"July 22, 2024",SMCI,Supermicro,WBA,Walgreens Boots Alliance
"June 24, 2024",ARM,Arm Holdings,SIRI,Sirius XM
"March 18, 2024",LIN,Linde,SPLK,Splunk
"December 18, 2023",CDW,CDW,ALGN,Align Technology
"December 18, 2023",CCEP,Coca-Cola Europacific Partners,EBAY,EBay
"December 18, 2023",DASH,DoorDash,ENPH,Enphase Energy
"December 18, 2023",MDB,MongoDB,JD,JD.com
"December 18, 2023",ROP,Roper Technologies,LCID,Lucid Group
"December 18, 2023",SPLK,Splunk,ZM,Zoom Video Communications
"December 14, 2023",TTWO,Take-Two Interactive,SGEN,Seagen Inc.
"July 17, 2023",TTD,The Trade Desk,ATVI,Activision Blizzard
"June 20, 2023",ON,Onsemi,RIVN,Rivian Automotive
"June 7, 2023",GEHC,GE HealthCare,FI,Fiserv
"December 19, 2022",CSGP,CoStar Group,VRSN,VeriSign
"December 19, 2022",RIVN,Rivian Automotive,SWKS,Skyworks
"December 19, 2022",,,NTES,NetEase
"December 19, 2022",WBD,Warner Bros. Discovery,SPLK,Splunk
"December 19, 2022",GFS,GlobalFoundries,BIDU,Baidu
"December 19, 2022",BKR,Baker Hughes,MTCH,Match Group
"December 19, 2022",FANG,Diamondback Energy,DOCU,DocuSign
"November 21, 2022",ENPH,Enphase Energy,OKTA,Okta
"February 22, 2022",AZN,AstraZeneca,XLNX,Xilinx
"February 2, 2022",CEG,Constellation Energy,,
"January 24, 2022",ODFL,Old Dominion Freight Line,PTON,Peloton
"December 20, 2021",ABNB,Airbnb,CDW,CDW
"December 20, 2021",FTNT,Fortinet,FOXA,Fox Corporation
"December 20, 2021",,,FOX,Fox Corporation
"December 20, 2021",PANW,Palo Alto Networks,CERN,Cerner
"December 20, 2021",LCID,Lucid Group,CHKP,Check Point
"December 20, 2021",ZS,Zscaler,TCOM,Trip.com
"December 20, 2021",DDOG,Datadog,INCY,Incyte
"August 26, 2021",CRWD,Crowdstrike,MXIM,Maxim Integrated Products
"July 21, 2021",HON,Honeywell,ALXN,Alexion Pharmaceuticals
"December 21, 2020",AEP,American Electric Power,BMRN,BioMarin Pharmaceutical
"December 21, 2020",MRVL,Marvell Technology,CTXS,Citrix Systems
"December 21, 2020",MTCH,Match Group,EXPE,Expedia
"December 21, 2020",OKTA,Okta,LBTYA,Liberty Global
"December 21, 2020",,,LBTYK,Liberty Global
